node,degree,node_type
S_1,77,S
D_1,45,D
D_2,45,D
D_3,45,D
D_4,45,D
D_5,45,D
D_6,45,D
D_7,45,D
D_8,45,D
D_9,45,D
D_10,45,D
D_11,45,D
D_12,45,D
D_13,45,D
D_14,45,D
D_16,45,D
D_17,45,D
D_18,45,D
D_19,38,D
D_20,45,D
D_21,45,D
D_22,45,D
D_23,45,D
D_24,45,D
D_25,45,D
D_26,45,D
D_27,44,D
D_28,43,D
D_29,40,D
D_30,37,D
D_31,45,D
D_32,45,D
D_33,45,D
D_34,43,D
D_35,39,D
D_36,39,D
D_37,20,D
D_38,45,D
D_40,45,D
D_41,42,D
D_42,45,D
D_44,45,D
D_45,37,D
D_46,45,D
D_47,37,D
D_48,25,D
D_49,45,D
D_51,37,D
D_52,45,D
D_54,37,D
D_55,45,D
D_56,45,D
D_58,34,D
D_59,45,D
D_60,45,D
D_67,45,D
D_71,43,D
D_72,45,D
D_74,45,D
D_77,37,D
D_78,37,D
D_79,45,D
D_80,45,D
D_81,45,D
D_82,45,D
D_83,43,D
D_85,44,D
D_87,45,D
D_90,45,D
D_91,45,D
D_92,45,D
D_93,43,D
D_94,45,D
D_95,45,D
D_96,45,D
D_97,45,D
D_98,45,D
D_99,37,D
S_2,78,S
D_39,5,D
S_3,72,S
S_4,78,S
S_5,72,S
S_6,77,S
S_7,76,S
S_8,76,S
S_9,73,S
S_10,77,S
D_50,14,D
S_11,78,S
S_12,75,S
S_13,79,S
D_43,5,D
S_14,77,S
S_15,79,S
S_16,76,S
S_17,76,S
S_18,78,S
S_19,79,S
S_20,78,S
S_21,77,S
S_22,76,S
S_23,77,S
S_24,77,S
S_25,77,S
S_26,76,S
S_27,78,S
S_28,77,S
S_29,77,S
S_30,64,S
S_31,76,S
S_32,77,S
S_33,63,S
S_34,78,S
D_65,1,D
S_35,74,S
S_36,63,S
S_37,62,S
S_38,63,S
S_39,75,S
S_40,77,S
S_41,77,S
S_42,62,S
S_43,61,S
S_44,62,S
S_45,74,S
